"","st","district","avg","dem_votes_major_percent","rep_votes_major_percent","winner_party","rep_status","dem_status","party","pred","poll","year"
"65","AZ",6,6.33333333333333,44.81,55.19,"R","Incumbent","Challenger","DEM","R",35.46,2018
"66","AZ",6,6.33333333333333,44.81,55.19,"R","Incumbent","Challenger","REP","R",44.83,2018
"67","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",44,2018
"68","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",48,2018
"69","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",40,2018
"70","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",49,2018
"71","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",43,2018
"72","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",49,2018
"73","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",46,2018
"74","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",46,2018
"75","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",42,2018
"76","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",51,2018
"77","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",46,2018
"78","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",45,2018
"79","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",43,2018
"80","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",53,2018
"81","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","DEM","R",41,2018
"82","AZ",8,6,44.54,55.46,"R","Incumbent","Challenger","REP","R",48,2018
"83","CA",1,6.66666666666667,45.11,54.89,"R","Incumbent","Challenger","DEM","R",45,2018
"84","CA",1,6.66666666666667,45.11,54.89,"R","Incumbent","Challenger","REP","R",49,2018
"85","CA",1,6.66666666666667,45.11,54.89,"R","Incumbent","Challenger","DEM","R",41,2018
"86","CA",1,6.66666666666667,45.11,54.89,"R","Incumbent","Challenger","REP","R",46,2018
"87","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","DEM","R",45,2018
"88","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","REP","R",49,2018
"89","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","DEM","R",42,2018
"90","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","REP","R",45,2018
"91","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","DEM","R",40,2018
"92","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","REP","R",46,2018
"93","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","DEM","R",45,2018
"94","CA",4,6,45.87,54.13,"R","Incumbent","Challenger","REP","R",49,2018
"95","CA",7,1.66666666666667,55.04,44.96,"D","Challenger","Incumbent","DEM","D",50,2018
"96","CA",7,1.66666666666667,55.04,44.96,"D","Challenger","Incumbent","REP","D",41,2018
"97","CA",9,1,56.49,43.51,"D","Challenger","Incumbent","DEM","D",38,2018
"98","CA",9,1,56.49,43.51,"D","Challenger","Incumbent","REP","D",38,2018
"99","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","DEM","R",47.28,2018
"100","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","REP","R",44.92,2018
"101","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","DEM","R",48.34,2018
"102","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","REP","R",39.21,2018
"103","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","DEM","R",50,2018
"104","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","REP","R",45,2018
"105","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","DEM","R",48,2018
"106","CA",10,3.66666666666667,52.25,47.75,"D","Incumbent","Challenger","REP","R",48,2018
"107","CA",16,1.66666666666667,57.55,42.45,"D","Challenger","Incumbent","DEM","D",51,2018
"108","CA",16,1.66666666666667,57.55,42.45,"D","Challenger","Incumbent","REP","D",40,2018
"109","CA",21,5.66666666666667,50.38,49.62,"D","Incumbent","Challenger","DEM","R",38,2018
"110","CA",21,5.66666666666667,50.38,49.62,"D","Incumbent","Challenger","REP","R",49,2018
"111","CA",21,5.66666666666667,50.38,49.62,"D","Incumbent","Challenger","DEM","R",36,2018
"112","CA",21,5.66666666666667,50.38,49.62,"D","Incumbent","Challenger","REP","R",52,2018
"113","CA",21,5.66666666666667,50.38,49.62,"D","Incumbent","Challenger","DEM","R",39,2018
"114","CA",21,5.66666666666667,50.38,49.62,"D","Incumbent","Challenger","REP","R",50,2018
"115","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",39,2018
"116","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",34,2018
"117","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",43,2018
"118","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",35,2018
"119","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",46,2018
"120","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",51,2018
"121","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",42,2018
"122","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",51,2018
"123","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",46,2018
"124","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",51,2018
"125","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",41,2018
"126","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",55,2018
"127","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",45,2018
"128","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",53,2018
"129","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",44,2018
"130","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",50,2018
"131","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",40,2018
"132","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",51,2018
"133","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",43,2018
"134","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",48,2018
"135","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",41,2018
"136","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",53,2018
"137","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","DEM","R",41,2018
"138","CA",22,6.33333333333333,47.28,52.72,"R","Incumbent","Challenger","REP","R",49,2018
"139","CA",24,1.33333333333333,58.56,41.44,"D","Challenger","Incumbent","DEM","D",47,2018
"140","CA",24,1.33333333333333,58.56,41.44,"D","Challenger","Incumbent","REP","D",46,2018
"141","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",49,2018
"142","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",47,2018
"143","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",51,2018
"144","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",45,2018
"145","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",45,2018
"146","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",46,2018
"147","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",41,2018
"148","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",48,2018
"149","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",48,2018
"150","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",46,2018
"151","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",43.98,2018
"152","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",48.4,2018
"153","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",41.08,2018
"154","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",46.04,2018
"155","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",50,2018
"156","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",46,2018
"157","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",45.26,2018
"158","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",47.41,2018
"159","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",44.84,2018
"160","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",43.05,2018
"161","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",47,2018
"162","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",47,2018
"163","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",40,2018
"164","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",45,2018
"165","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",50,2018
"166","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",40,2018
"167","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",53,2018
"168","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",40,2018
"169","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","DEM","R",42,2018
"170","CA",25,4.33333333333333,54.37,45.63,"D","Incumbent","Challenger","REP","R",49,2018
"171","CA",39,4.33333333333333,51.56,48.44,"D","Challenger","Challenger","DEM","R",46,2018
"172","CA",39,4.33333333333333,51.56,48.44,"D","Challenger","Challenger","REP","R",47,2018
"173","CA",39,4.33333333333333,51.56,48.44,"D","Challenger","Challenger","DEM","R",47,2018
